Nucleotide	Species	Length	Protein	Host	Tissue_Specimen_Source	Collection_Date
KF470481	Human immunodeficiency virus 1	326	pol protein	Homo sapiens		2002
PP832418	Severe acute respiratory syndrome-related coronavirus	121	ORF7a protein	Homo sapiens		5/13/2024
BK042317	Caudoviricetes sp.	50	hypothetical protein	human metagenome		2/19/2015
OM340587	Severe acute respiratory syndrome-related coronavirus	75	envelope protein	Homo sapiens		1/9/2022
MT310870	Mycobacterium phage RawrgerThat	580	lysin A	Mycolicibacterium smegmatis		10/1/2016
OL622512	Severe acute respiratory syndrome-related coronavirus	419	nucleocapsid phosphoprotein	Homo sapiens	oronasopharynx	10/30/2021
OM190315	Severe acute respiratory syndrome-related coronavirus	75	envelope protein	Homo sapiens	oronasopharynx	12/15/2021
OK228955	Severe acute respiratory syndrome-related coronavirus	4405	ORF1a polyprotein	Homo sapiens		8/28/2021
OL990802	Severe acute respiratory syndrome-related coronavirus	4405	ORF1a polyprotein	Homo sapiens	oronasopharynx	11/29/2021
OP446559	Severe acute respiratory syndrome-related coronavirus	38	ORF10 protein	Homo sapiens		8/3/2022
OQ523602	Severe acute respiratory syndrome-related coronavirus	119	ORF8 protein	Homo sapiens	oronasopharynx	12/29/2021
MZ076032	Severe acute respiratory syndrome-related coronavirus	222	membrane glycoprotein	Homo sapiens		4/2/2021
OR757773	Severe acute respiratory syndrome-related coronavirus	222	membrane glycoprotein	Homo sapiens		9/26/2023
OQ504980	Synechococcus phage S-MS29	309	single-stranded DNA-binding protein	Synechococcus sp. MW02		
OQ242936	Severe acute respiratory syndrome-related coronavirus	275	ORF3a protein	Homo sapiens	oronasopharynx	12/24/2022
OK034382	Severe acute respiratory syndrome-related coronavirus	4405	ORF1a polyprotein	Homo sapiens		8/27/2021
OR419302	Severe acute respiratory syndrome-related coronavirus	275	ORF3a protein	Homo sapiens		7/23/2023
MZ185303	Severe acute respiratory syndrome-related coronavirus	419	nucleocapsid phosphoprotein	Homo sapiens		4/29/2021
KT254013	Lymphocryptovirus humangamma4	345	BdRF1	Homo sapiens		2013
JX411975	Rotavirus A	277	inner capsid protein	Homo sapiens	feces	2011
OP405479	Severe acute respiratory syndrome-related coronavirus	41	ORF1ab polyprotein	Homo sapiens	oronasopharynx	11/10/2020
OP521635	Severe acute respiratory syndrome-related coronavirus	416	nucleocapsid phosphoprotein	Homo sapiens	oronasopharynx	2/14/2022
OK019607	Severe acute respiratory syndrome-related coronavirus	7096	ORF1ab polyprotein	Homo sapiens		8/9/2021
OL433854	Severe acute respiratory syndrome-related coronavirus	222	membrane glycoprotein	Homo sapiens		10/11/2021
OK619034	Severe acute respiratory syndrome-related coronavirus	1271	surface glycoprotein	Homo sapiens	oronasopharynx	9/23/2021
OL918090	Severe acute respiratory syndrome-related coronavirus	38	ORF10 protein	Homo sapiens	oronasopharynx	11/30/2021
OK422430	Severe acute respiratory syndrome-related coronavirus	1271	surface glycoprotein	Homo sapiens	oronasopharynx	9/2/2021
OL320861	Severe acute respiratory syndrome-related coronavirus	419	nucleocapsid phosphoprotein	Homo sapiens		10/5/2021
MW252151	Severe acute respiratory syndrome-related coronavirus	61	ORF6 protein	Homo sapiens	oronasopharynx	6/17/2020
OK219566	Severe acute respiratory syndrome-related coronavirus	1271	surface glycoprotein	Homo sapiens	oronasopharynx	8/16/2021
OK397692	Severe acute respiratory syndrome-related coronavirus	43	ORF7b protein	Homo sapiens		9/7/2021
OQ684107	Severe acute respiratory syndrome-related coronavirus	4402	ORF1a polyprotein	Homo sapiens	oronasopharynx	3/7/2023
ON620783	Severe acute respiratory syndrome-related coronavirus	7093	ORF1ab polyprotein	Homo sapiens	oronasopharynx	4/28/2022
OK659683	Severe acute respiratory syndrome-related coronavirus	38	ORF10 protein	Homo sapiens		7/14/2020
PP063420	Severe acute respiratory syndrome-related coronavirus	222	membrane glycoprotein	Homo sapiens		11/27/2023
MW796100	Severe acute respiratory syndrome-related coronavirus	419	nucleocapsid phosphoprotein	Homo sapiens	oronasopharynx	2/25/2021
MF769410	Swine acute diarrhea syndrome related coronavirus	538	spike glycoprotein subunit 1	Rhinolophus		
	Human immunodeficiency virus 1	81	Protein Vpu	Homo sapiens		
NC_051722	Avanivirus demsculpinboyz	48	hypothetical protein	Mycolicibacterium smegmatis MC2 155		10/1/2016
PQ160013	Monkeypox virus	111	Entry/fusion complex component	Homo sapiens		9/10/2023
MW328856	Nepovirus cycas	1356	polyprotein	Paeonia lactiflora		2016-09
OM050787	Severe acute respiratory syndrome-related coronavirus	38	ORF10 protein	Homo sapiens		12/15/2021
LR796484	uncultured Caudovirales phage	71	hypothetical protein			8/18/2017
ON836939	Severe acute respiratory syndrome-related coronavirus	38	ORF10 protein	Homo sapiens	oronasopharynx	6/13/2022
OM101708	Severe acute respiratory syndrome-related coronavirus	61	ORF6 protein	Homo sapiens	oronasopharynx	12/13/2021
NC_021923	Alphabaculovirus heleucae	1264	helicase	Hemileuca		
ON298079	Severe acute respiratory syndrome-related coronavirus	4402	ORF1a polyprotein	Homo sapiens		4/19/2021
MT755832	Severe acute respiratory syndrome-related coronavirus	275	ORF3a protein	Homo sapiens	oronasopharynx	7/6/2020
MW905807	Severe acute respiratory syndrome-related coronavirus	275	ORF3a protein	Homo sapiens	oronasopharynx	3/22/2021
OP568019	Severe acute respiratory syndrome-related coronavirus	416	nucleocapsid phosphoprotein	Homo sapiens	oronasopharynx	9/13/2022
BK056014	Microviridae sp.	569	Replication associated protein			10/24/2018
DQ437590	Variola virus	195	type-I membrane glycoprotein			
OR753196	Severe acute respiratory syndrome-related coronavirus	121	ORF7a protein	Homo sapiens		9/26/2023
BK013340	Vaccinia virus	176	MHC-II antigen presentation inhibitor	Homo sapiens		
OP720001	Severe acute respiratory syndrome-related coronavirus	7092	ORF1ab polyprotein	Homo sapiens	oronasopharynx	2/15/2022
ON404283	Severe acute respiratory syndrome-related coronavirus	4402	ORF1a polyprotein	Homo sapiens		4/17/2022
OM634886	Severe acute respiratory syndrome-related coronavirus	121	ORF7a protein	Homo sapiens		1/3/2022
MZ530005	Severe acute respiratory syndrome-related coronavirus	61	ORF6 protein	Homo sapiens	oronasopharynx	6/21/2021
OM815285	Severe acute respiratory syndrome-related coronavirus	43	ORF7b protein	Homo sapiens		2/8/2022
OQ713362	Severe acute respiratory syndrome-related coronavirus	4402	ORF1a polyprotein	Homo sapiens	oronasopharynx	3/17/2023
OR998634	Severe acute respiratory syndrome-related coronavirus	7093	ORF1ab polyprotein	Homo sapiens		12/5/2023
OM444319	Severe acute respiratory syndrome-related coronavirus	275	ORF3a protein	Homo sapiens		12/26/2021
OL329482	Severe acute respiratory syndrome-related coronavirus	61	ORF6 protein	Homo sapiens	oronasopharynx	10/15/2021
NC_054812	Turbidovirus joshkayV	57	hypothetical protein	Mycolicibacterium smegmatis MC2 155		7/4/2016
MZ029133	Severe acute respiratory syndrome-related coronavirus	4402	ORF1a polyprotein	Homo sapiens		4/2/2021
OK280454	Severe acute respiratory syndrome-related coronavirus	61	ORF6 protein	Homo sapiens	oronasopharynx	9/7/2021
OQ336625	Severe acute respiratory syndrome-related coronavirus	121	ORF8 protein	Homo sapiens		12/30/2022
ON731144	Severe acute respiratory syndrome-related coronavirus	75	envelope protein	Homo sapiens	oronasopharynx	5/20/2022
ON020568	Severe acute respiratory syndrome-related coronavirus	121	ORF7a protein	Homo sapiens	oronasopharynx	3/2/2022
OM870950	Severe acute respiratory syndrome-related coronavirus	4401	ORF1a polyprotein	Homo sapiens		2/20/2022
OK137808	Severe acute respiratory syndrome-related coronavirus	4405	ORF1a polyprotein	Homo sapiens	oronasopharynx	8/10/2021
OQ210007	Pseudomonas phage MK	229	hypothetical protein	Pseudomonas aeruginosa		2019
OM844615	Severe acute respiratory syndrome-related coronavirus	43	ORF7b protein	Homo sapiens		1/26/2022
ON537461	Severe acute respiratory syndrome-related coronavirus	1270	surface glycoprotein	Homo sapiens	oronasopharynx	5/3/2022
